ProductId,Score,Summary,Text,Time,HelpfulnessNumerator,HelpfulnessDenominator
B003OB0IB8,4,Tastes great. Love Hot & Spicy. Bad price here.,"I've been a fan of Hot & Spicy Maruchan Ramen for a long time. If you enjoy spice, and love ramen, you'll love this product. Too bad it's way too expensive here on Amazon. It's only $3.36 per 12 at my Walmart.",1325808000,4,4
B003OB0IB8,5,My favorite ramen,"I've been eating Ramen noodles since I was a little kid, and I've never found a better flavor than Hot & Spicy Chicken!  It isn't hot at all to a chilihead like me, but it sure is good!",1314489600,4,4
B003OB0IB8,3,It burns!,"I LOVE spicy ramen, but for whatever reasons this thing burns my stomach badly and the burning sensation doesn't go away for like 3 hours! Not sure if that is healthy or not .... and you can buy this at Walmart for $0.28, way cheaper than Amazon.",1329436800,3,3
B003OB0IB8,5,Amazing to the last bite.,"Always being a fan of ramen as a quick and easy meal, finding it on amazon for a decent price and having it delivered to your door by the case is an amazing situation for anyone to find themselves in.",1330473600,1,1
B003OB0IB8,4,"Tastes great, but is cheaper locally.","I love this flavor of ramen! I don't eat other flavors anymore because they taste too bland by comparison. For the convenience of having it delivered to my home (I have prime, so I get it in two days and don't have to pay for the shipping), the price on amazon isn't bad at all, but it is still cheaper to run down and pick up a case of this at the grocery store.",1333756800,0,0
B0009XLVGA,5,My cat loves it!,"I started my cat on Felidae Platinum about 3 weeks ago and she loves it. She's an older cat, somewhat overweight, and had a grouchy temperament. I first mixed it with her previous food and she figured out which was which -- she ate the Felidae and left the old food! She's now been on just the Felidae for about ten days now, off the old food entirely, and she is a much sweeter, happier cat. I think it must agree with her better or be more easily digested, or something. In any case, I am a happy purchaser of Felidae. I don't agree with the previous reviewer that cats don't like it. Clearly, mine does.",1267920000,2,2
B000G6RYNE,5,My favorite Kettle Chip,"These are my favorite, but they aren't for everybody. In a way, they sort of taste like Oriental flavor ramen, but with a kick. For me, how can one go wrong with the combination of jalapeno and ginger? They are a bit rich, so they aren't for EveryDayForAMonth snacking. Because this is a case purchase, I recommend trying out a single bag before buying an entire case. The 2oz size seems to be no longer available, which is a shame; I can eat the entire 5oz bag.",1327968000,1,1
B0017WFN4S,5,Like tiny light flavored peanut halves....,"Excellent in cereal, or on top icecream sundae. I use them in my ramen noodle hot/sour soup as well.  very very GOOD.  almost a lite peanut flavor.  not too much salt, very lightly seasoned. a must try for anyone wanting a low calorie addition of protien into diet.  even the dog loves them. thinks they are some special treat.",1332288000,0,0
B003OB2EP6,5,The best around,"I'm not so sure why the other guy didn't like this so much, I LOVE IT!!  In fact, it might just be one of my favorite foods around.  It's tried and true, rarely cooks wrong, and always good to warm the belly and soul.  I only but this flavor, it's so good, why deviate from it?  I have tried other brands before, bit Maruchan makes the best ramen noodles in all of time.",1316995200,3,3
B003OB2EP6,3,"Okay price, fast easy meals","This is ramen, a cheap, easy, and fast noodle meal that is pretty cheap. Its got its pros and cons, but mostly its pretty alright. The chicken flavor is good. Some people find it too salty, I like it as is. The price here on Amazon is comparable to some groceries when its not on sale, higher than others. Still, if you're like me and want to avoid the stores as much as possible, maybe paying a $1 more for 24 isn't such a big deal. Nutritionally its pretty meh. You could do a lot better. But its also a versatile base- you can always add lots of veggies, meat, other spices, pretty much anything to this to dress it up and make it a better meal option. We keep it in the house for quick lunches when no one wants to cook a meal just for themselves.",1334275200,1,1
